"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "XML", "Markdown", "Properties", "TypeScript JSX", "Ignore", "CSS", "Java", "comment", "blank", "total"
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 3, 37
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 11, 118
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 8, 56
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 12, 127
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 3, 38
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 8, 31
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\use-toast.ts", "TypeScript", 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30, 191
"h:\cursor\for_fun\genarate-svg - vercel\src\config\ai-models.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46
"h:\cursor\for_fun\genarate-svg - vercel\src\config\prompts.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 42
"h:\cursor\for_fun\genarate-svg - vercel\src\config\site.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"h:\cursor\for_fun\genarate-svg - vercel\src\data\user.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 44
"h:\cursor\for_fun\genarate-svg - vercel\src\hooks\use-auth-guard.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"h:\cursor\for_fun\genarate-svg - vercel\src\hooks\use-media-query.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"h:\cursor\for_fun\genarate-svg - vercel\src\hooks\use-svg.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 20
"h:\cursor\for_fun\genarate-svg - vercel\src\lib\auth-utils.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 39
"h:\cursor\for_fun\genarate-svg - vercel\src\lib\auth.config.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 27
"h:\cursor\for_fun\genarate-svg - vercel\src\lib\auth.ts", "TypeScript", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 69
"h:\cursor\for_fun\genarate-svg - vercel\src\lib\auth\session.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"h:\cursor\for_fun\genarate-svg - vercel\src\lib\db-utils.ts", "TypeScript", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 114
"h:\cursor\for_fun\genarate-svg - vercel\src\lib\db.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"h:\cursor\for_fun\genarate-svg - vercel\src\lib\db\schema.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
